City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,274.67,100,100,6.51,TF,1697082667
1,port lincoln,-34.7333,135.8667,289.61,58,11,7.78,AU,1697082440
2,kiffa,16.6166,-11.4045,303.36,49,100,5.19,MR,1697082667
3,anchorage,61.2181,-149.9003,277.23,83,100,4.12,US,1697082600
4,kodiak,57.79,-152.4072,275.88,52,0,3.09,US,1697082143
5,grytviken,-54.2811,-36.5092,268.41,68,13,2.87,GS,1697082668
6,blackmans bay,-43.0167,147.3167,289.22,63,98,5.75,AU,1697082669
7,waitangi,-43.9535,-176.5597,285.27,79,18,7.6,NZ,1697082669
8,campo maior,-4.8278,-42.1686,298.63,74,59,2.95,BR,1697082669
9,hermanus,-34.4187,19.2345,287.91,90,95,3.69,ZA,1697082670
10,hithadhoo,-0.6,73.0833,300.6,72,9,6.58,MV,1697082102
11,mary,37.0,62.5,293.84,28,5,1.63,TM,1697082670
12,howard springs,-12.497,131.047,306.94,26,57,1.68,AU,1697082670
13,puerto natales,-51.7236,-72.4875,276.72,93,89,3.67,CL,1697082671
14,olonkinbyen,70.9221,-8.7187,274.73,71,100,11.49,SJ,1697082671
15,el charco,2.4769,-78.1105,297.49,94,99,1.65,CO,1697082671
16,edinburgh of the seven seas,-37.0676,-12.3116,286.73,83,60,10.12,SH,1697082672
17,yellowknife,62.456,-114.3525,282.27,100,100,2.06,CA,1697082432
18,nili,33.7218,66.1302,291.71,23,0,2.13,AF,1697082672
19,west island,-12.1568,96.8225,301.14,69,75,6.69,CC,1697082673
20,adamstown,-25.066,-130.1015,293.65,73,3,4.85,PN,1697082673
21,danielskuil,-28.1887,23.5395,286.66,84,100,6.56,ZA,1697082673
22,dudinka,69.4058,86.1778,274.64,93,100,6.71,RU,1697082673
23,iskateley,67.6803,53.1512,274.27,76,10,4.02,RU,1697082091
24,constantia,44.1833,28.65,281.53,69,7,4.06,RO,1697082094
25,bredasdorp,-34.5322,20.0403,287.84,90,86,3.24,ZA,1697082674
26,pariaman,-0.619,100.12,303.18,78,58,2.47,ID,1697082133
27,anadyr,64.75,177.4833,273.43,93,100,16.0,RU,1697082675
28,fort st. john,56.2499,-120.8529,282.09,100,100,1.03,CA,1697082675
29,pauini,-7.7136,-66.9764,299.77,58,8,1.42,BR,1697082675
30,port mathurin,-19.6833,63.4167,296.64,77,38,4.52,MU,1697082078
31,mejit,10.2753,170.8646,301.24,71,89,5.19,MH,1697082676
32,kasimov,54.9411,41.3953,276.97,68,100,8.94,RU,1697082676
33,hawaiian paradise park,19.5933,-154.9731,297.88,88,75,4.08,US,1697082677
34,nizhneudinsk,54.9076,99.0276,290.94,41,69,2.68,RU,1697082677
35,albany,42.6001,-73.9662,285.38,82,100,0.9,US,1697082677
36,kiunga,-6.1219,141.2906,304.41,61,99,1.69,PG,1697082100
37,thompson,55.7435,-97.8558,280.24,53,75,2.06,CA,1697082575
38,chonchi,-42.6128,-73.8092,279.88,76,89,2.68,CL,1697082678
39,mtambile,-5.3833,39.7,298.6,78,99,1.65,TZ,1697082679
40,aurad,18.25,77.4333,301.24,55,8,3.48,IN,1697082679
41,bethel,41.3712,-73.414,284.78,85,0,0.0,US,1697082679
42,o carballino,42.4316,-8.079,288.6,51,69,0.67,ES,1697082679
43,kone,-21.0595,164.8658,295.15,78,100,3.34,NC,1697082680
44,lihue,21.9789,-159.3672,300.73,71,20,5.14,US,1697082680
45,isafjordur,66.0755,-23.124,275.02,93,100,17.69,IS,1697082680
46,minzhu,43.7286,127.3447,291.27,37,0,1.1,CN,1697082681
47,sitka,57.0531,-135.33,282.09,71,20,1.54,US,1697082681
48,puerto madero,14.7208,-92.4215,300.21,79,97,0.87,MX,1697082681
49,nabire,-3.3667,135.4833,302.51,67,100,1.0,ID,1697082142
50,la passe,45.5549,-0.8967,286.28,63,73,2.51,FR,1697082127
51,bel ombre,-4.6167,55.4167,300.06,89,40,2.06,SC,1697082682
52,tiksi,71.6872,128.8694,268.75,78,100,6.99,RU,1697082683
53,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,73,100,6.71,RU,1697082683
54,zhanaozen,43.3,52.8,280.51,54,54,8.2,KZ,1697082683
55,pitimbu,-7.4706,-34.8086,297.48,83,7,4.29,BR,1697082684
56,pyhajarvi,67.0701,27.2176,273.01,98,100,6.94,FI,1697082685
57,mandalgovi,45.7625,106.2708,284.63,32,44,4.15,MN,1697082685
58,puerto ayora,-0.7393,-90.3518,297.34,92,100,3.13,EC,1697082685
59,iqaluit,63.7506,-68.5145,272.0,86,20,3.6,CA,1697082686
60,rio grande,-32.035,-52.0986,284.79,75,100,8.75,BR,1697082686
61,codrington,-38.2667,141.9667,286.85,76,62,9.82,AU,1697082687
62,kuanda,56.3161,116.0806,285.34,50,63,0.69,RU,1697082688
63,nar'yan-mar,67.6713,53.087,274.32,76,10,4.02,RU,1697082688
64,udachny,66.4167,112.4,275.07,74,100,4.72,RU,1697082689
65,jamestown,42.097,-79.2353,282.92,99,75,2.06,US,1697082392
66,east london,-33.0153,27.9116,292.36,91,100,7.17,ZA,1697082690
67,vorkuta,67.5,64.0,273.09,81,99,1.2,RU,1697082690
68,wattegama,6.7989,81.4808,301.97,66,95,3.49,LK,1697082690
69,utrik,11.2278,169.8474,301.41,75,94,5.2,MH,1697082691
70,ola,59.5833,151.2833,274.34,48,6,2.84,RU,1697082691
71,klyuchi,52.2667,79.1667,283.24,44,100,1.39,RU,1697082691
72,guerrero negro,27.9769,-114.0611,292.57,77,16,8.1,MX,1697082011
73,copala,16.65,-98.9833,298.09,86,72,1.51,MX,1697082692
74,ushuaia,-54.8,-68.3,277.96,75,40,12.07,AR,1697082692
75,farafangana,-22.8167,47.8333,296.15,81,74,1.59,MG,1697082693
76,sangkhla buri,15.1555,98.4536,300.15,83,100,0.81,TH,1697082693
77,springbok,-29.6643,17.8865,282.57,77,91,3.88,ZA,1697082693
78,bhamo,24.2667,97.2333,299.56,81,100,1.54,MM,1697082694
79,kourou,5.1552,-52.6478,300.18,77,0,4.06,GF,1697082694
80,gadzhiyevo,69.2551,33.3362,274.86,91,99,12.57,RU,1697082129
